building_type,dengji,jianzhumianji,loupan_content,loupandizhi,price_perunit,release_date,service_price,suozailouceng,titile,total_price_10K,url,xzl_content,zhuangxiu
毛坯(不可分割),甲级,687㎡,"保利克洛维，一线紧靠黄埔大道，位于珠江新城。珠江新城，中轴线旁保利克洛维，领距CBD商务氛围为纯粹和浓厚的领地与强者为邻，与强者共赢
城市主干道交汇，无缝对接全城
周边路网配套完善，北临黄埔大道约50米，西连广州大道约150米，东接华南快速干道约2000米，通过这些交通主干道可便捷通往广州全城。
26万m2甲级写字楼群，专注商务体验
保利克洛维是由三栋塔楼组成的体量高达26万m2的写字楼群，以精心设计、甲级品质，专注于提供完美纯粹的商务体验
100-1900m2至罕可售，自由空间组合
100 ㎡起，空间组合与选择自由灵活，可满足不同规模企业多重需要。 
逾1万方绿化，私享空中园林","['广州', '天河', '珠江新城西', '保利克洛维广场']",(38000元/㎡),2019/5/16 11:39:23,16.00元/平米·月,高区(共37层),保利克洛维 低于市场价急售 仅需3.8万/方并各付各税,2611,https://gz.office.fang.com/shou/3_238555427.html,,
精装修(可分割),甲级,516㎡,壬丰大厦，坐落在广州天河东路和天河路交界处，周边有学校、科研机构，银行、邮政、酒店等。,"['广州', '天河', '石牌桥', '壬丰大厦']",(22000元/㎡),2019/9/3 14:51:18,18.00元/平米·月,中区(共41层),石牌桥壬丰大厦写字楼出售 516方 仅售2万2每平方 自用,1135,https://gz.office.fang.com/shou/3_241963290.html,广州壬丰大厦写字楼出租广州壬丰大厦写字楼项目介绍    壬丰大厦地处天河路与天河东路交汇处，壬丰大厦北邻天河北高尚住宅商业圈，壬丰大厦西接天河路繁华购物旅游休闲娱乐商业圈，南邻珠江新城未来金融商务圈，东接岗顶—五山高科经济圈。壬丰大厦内部拥有环保绿色玻璃幕墙的152米高外立面，喧闹区之外特色浮雕的写字楼大堂及南大门，21部富士达高速电梯，41楼生态商务会所展示中心层，42楼环球商务多功能国际会议层，全城完整的机生态停机坪，逾3000绿色园林生态后广场，24无间断广州典范供水系统和供电系统等目前一流的写字楼配套设施。个人点评：1、壬丰大厦位于石牌IT商圈，商业氛围浓厚，而且旁边的万菱汇广场，太古汇广场都是集商场，写字楼，一体，亚运前将落成交付使用，将极大的提升周边的商务档次，。2、壬丰大厦毗邻地铁石牌桥站，BRT也即将开通，交通方便。壬丰大厦配套完善，装修，大堂豪华。6楼有员工餐厅，不出大楼就可以享受美食。3、壬丰大厦此出租单位，南向无遮挡，采光一流，附图中看出，单位很方正，无柱子设计，利用率更高，员工区域比较大，适合员工比较多的公司，网线、地线已经布好，承租后只要配置家私即可。壬丰大厦写字楼物业介绍 壬丰大厦物业地址：天河路490号 壬丰大厦管 理 费：28元//月 壬丰大厦开发商：壬丰房地产开发有限公司 壬丰大厦管理公司：壬峰物业管理有限公司 壬丰大厦落成时间：2004年11月 壬丰大厦楼层分布：总楼层为42层，11-41为写字楼，顶层为机停机坪，B1-B3为停车场 壬丰大厦实 用 率：72% 壬丰大厦楼底高度：2.3米（11-24层）；2.7米（26-41层） 壬丰大厦电梯分布：12台高速富士达电梯 壬丰大厦停 车 位：共420个 壬丰大厦停 车 费：月租：1200元/月/个；时租：8元/,
毛坯(不可分割),甲级,550㎡,1997年初，新大新东山广场隆重开业。这里毗邻环市路高级写字楼群，具备良好的商业基础和文化氛围。,"['广州', '越秀', '东山', '东山广场']",(21000元/㎡),2019/8/30 11:08:46,28.00元/平米·月,中区(共30层),区庄东山广场21000元 可交吉出售 精装修 交通方便,1155,https://gz.office.fang.com/shou/3_241851009.html,,
毛坯(不可分割),甲级,500㎡,"保利鱼珠港项目正位于位处广州“东进”战略-黄埔临港经济圈 核心位置，占地约59.6万㎡，总建面约110万㎡，西临珠江新城和国际金融城，北接萝岗高新产业区，南为番禺海珠商圈，东接香港东莞深圳珠三角经济圈。

保利鱼珠港的定位为集居住、商业、娱乐、办公于一身的 城市综合体，涵括了奢华型酒店、超甲级写字楼、大型购物 、小区购物等。是保利集十年综合体开发经验的作品","['广州', '黄埔', '大沙地', '保利鱼珠港']",(33000元/㎡),2019/9/4 15:33:13,20.00元/平米·月,中区(共33层),保利鱼珠港 一手免佣,1650,https://gz.office.fang.com/shou/3_241995780.html,,
商业综合体楼,,550㎡,"万科云位于广州市核心区——天河区的商务综合体，“十二五”规划重点发展项目——天河智慧城内，周边云集约1550家高新科技软件企业。项目邀请国际设计团队【马达思班】，倾力打造充满个性、创意、灵动的国际空间，并通过巧妙的运动体验式园林设计，配以游泳池、健身房、食堂、银行、餐饮等一站式丰富配套，构建品质都市生活的。

项目占地2.8万平米，总建面8.3万平米，灵活百变 的【九立方】创意空间和3.6米万科自持的标准小面积【云平方】写字楼产品。

项目的建筑形体本身就是一个具有时代感的大型雕塑。设计师将四栋楼栋的顶层全部打通，在屋顶形成了一个递进向上的空中花园。除了种植绿植，更设置了环形慢跑道及康","['广州', '天河', '智慧城', '万科云']",(19000元/㎡),2019/8/23 15:16:02,,高区(共15层),"550平方 4.5米,万科写字楼,个人物业,自用装修靓",1045,https://gz.office.fang.com/shou/3_241672822.html,房源概述本周精选单位：万科云城中层 地址：天河区智慧城华观路与高唐路交汇处 楼层：中层 面积： 550方 价钱： 19000元/方 管理费： 13元/平方 室内装修：精装修、带租约出售 建议行业：电商、IT、互联网、物流、金融 大厦交通：地铁21号线，多路公交配套情况万科产品系组成约60万方的城市创意综合体，涵盖研发、、酒店、、商业等业态，实现、社交、、创业体验的一体化社区。 而且小区生活配套，品牌餐饮、名店、生活超市，多家一线品牌商家进驻。,精装修(不可分割)
毛坯(可分割),甲级,500㎡,广州国际金融城整体规划研究范围北起黄埔大道、中山大道，南至珠江，东至天河区界，西至华南快速干线，总面积约8平方公里。国际金融城以“方城曲苑、古今交融”为规划理念，被定位为“国内领先的金融集聚区、岭南特色的中央活力区、新型城市化实践区、国际一流的生态理想城”。是广州市政府倾力打造的重点区域。 起步区西起科韵路、东至车陂路、北起黄埔大道，南至珠江岸线，总用地1.32平方公里。分为五大区域：总部办公区、金融核心区、综合商业区、滨水休闲区及居住生活区 ，区内交通规划性好。规划结构借鉴中国传统方城格局，按照本次公布的规划，未来金融城起步区将不再是冰冷的“石屎森林”，而是借鉴中国传统方城格局和古代造城理论,"['广州', '天河', '员村', '金融城绿地中心']",(15000元/㎡),2019/8/13 14:12:03,16.00元/平米·月,高区(共34层),绿地一手房500方起售105万元/方起售 免中介费,750,https://gz.office.fang.com/shou/3_241390416.html,"鸿添地产-写字楼代理-赖迪昌-欢迎您光临！24咨询热线：158-1711-3158写字楼简介：            写字楼为纯写字楼。可几连套出售，可整层出售、亦可多层出售、共12个单元面积分别为：01房178方，02房162房，03房为195方；04房为257方，05房为152方，06房为141方。07房为176方，08房为148方，09房为141方，10房为251方，11房为153方，12房为142方，（高层和低层面积相差2-5个方左右）写字楼中间无柱梁。框架结构。可全部打通，楼板高4.2米。电梯分低层，中高层，高层。视野望开阔，景观美不胜收。有空调配置（可以自己自由开关使用）。外墙都是防辐射玻璃。业主全权委托我公司代理出售，或出租。随时看房。不管是自己用还是收租划算。购买电话：158-1711-3158赖经理写字楼参数：A：房产证建筑面积：500方。B:  楼层：26楼整栋共34层。C:  装修情况：毛坯（。D:写字楼配套：8台电梯。E: 售价：15000元/方。F:看方方式：电约即可看。整栋大夏其他出售面积：670方半层、低层1340方，中高层2025方。高层2138方。可分套售（可以凑齐买家一起售）黄埔科学城版块绿地广场可售面积：150方、162方、265方；A 3栋面积：95方、125方、278方；其他多套可售面积：310-1500方。写字楼价格-21000-22500左右/方。评点：开发区、科学城写字楼出售数据、价格分析：萝岗万达广场：出售面积（整套）：118方、124方、186方；可多间出租面积：248方、311方、434方、620方、738方856方、1042方、1290方等。单价：19000-20000元/方。合景科汇金谷出售价：383、538、636方：低层15800元/方左右、中层16000元/方左右、高层16500元/方左右。奥园广场：写字楼18000元/方左右。敏捷广场;15000元/方。1.绿地项目介绍：    广州绿地城是城市运营商绿地集团，落子广州中新知识城打造子品牌项目，以百万方综合体规模缔造城市新核心,自身融合全球功能型总部、智慧产业研发集群、国际健康养生业集群、高知百年社区等4大业态，涵盖150 m地标写字楼、花园式生态、全能型、滨水风情商业街、国际高酒店、高配套住宅等9种产品，以全能配套刷新广州东的、商务、商业格局，以世界500强的力量和高度领跑广州东，助力腾飞。广州绿地城项目以百万方综合体规模缔造城市新核心，自身融合全球功能型总部、智慧产业研发集群、国际健康养生业集群、高知百年社区等4大业态，涵盖150m地标写字楼、花园式生态、全能型、滨水风情商业街、国际高酒店、高配套住宅等9种产品，以综合体大规划之气势，凭借规模、业态丰富、景观稀贵、配套端齐全，成为当之无愧的区域。【G地块】全球功能型总部：写字楼，充分利用绿地智慧平台，开创广州东花园式创意型世道。LIVING MALL、国际高酒店、滨水风情商业街、乐活商业街等，打造集生活、娱乐、体验于一体的国际时尚生活中心。【J地块】国际健康养生集群：充分发挥珠三角气候宜人、中新知识城项目优良生态环境的，将项目打造成集美容、健康养生、特色医疗为一体的国际健康养生集群。【F地块】智慧产业研发集群：与各行业技术研发、终端使用合作，培育、孵化科技型、创意型，打造智慧产业研发集群。【H+K地块】高知百年社区：采用绿地集团新住宅科研成果——百年宅技术，打造高知住宅、CEO别墅公馆、周边配套17所：包括1所大学、1所高中、2所、6所和7所幼儿园。医疗：配套完善医疗服务系统，中山大学医疗研究中心即将建立;中新知识城也规划建有一座提供传统中医(T C M)治疗的医院；同时规划综合医院3处，在多元复合组团内建设区域级医院1处，在产业服务组3团和创新服务组团内各建设区医院1处规划中的邻里中心具有强大的社会服务功能，方便居民进行综合购物，享受各种休闲、运动、医疗、以及相关的政府配套服务，并为居民文化娱乐活动提供场所。交通：14号线,21号线道路交通：公交：303路/252路/345路 知识城南站下车 广增6线/广增14线→345路销售热线：158-1711-3158 赖经理",
毛坯(不可分割),甲级,570㎡,富力盈隆广场项目位处广州市珠江新城中轴北端入口门户位置，为黄埔大道和珠江大道交汇，往来交通便利;西临城市广场，南望B地块街坊中心园林广场，城市环境景观优越;北面获得体育路已成熟完善的商业配套支持，兼得珠江新城中轴未来全面发展的超5星级酒店和各项高端商务服务配套便利，项目作为“门户地标”优势显著无出其右。,"['广州', '天河', '珠江新城中', '富力盈隆广场']",(26500元/㎡),2019/8/6 17:27:58,25.00元/平米·月,高区(共42层),天河区 珠江新城 富力盈隆大厦 电梯口单位 急售,1510,https://gz.office.fang.com/shou/3_241195869.html,,
纯写字楼,甲级,545㎡,汇德国际大厦定位为“东风路核心区域的精品型纯写字楼”，目标客户是专业事务型中小企业，七成以上的单元面积在60-80平方米之间，户型间隔方正，可灵活打通作办公、展示、会议之用，完全符合现代企业对多种功能办公的需要。项目位于东风路，邻近仓边路法律事务圈、广仁路金融事务圈、房地产事务圈，并位处市政府部门的政务地带中心，大大节省商旅办事的时间成本和交通成本，突显“专业事务型”的特色优势。周边地带存在着大量总部企业，能通过食物链效应吸引相关行业和企业聚集于此，商务氛围浓厚。项目位于东风中路与德政北路交界处，楼高30层，总建筑面积为3万余㎡，经香港发展商收购，重新包装销售。项目外立面为全玻璃幕墙设计，将领,"['广州', '越秀', '东风东', '汇德国际大厦']",(21000元/㎡),2019/7/29 22:58:17,10.00元/平米·月,中区(共30层),正对电梯口 带租约545方 可分卖 独立房产证 汇德国际大厦,1144,https://gz.office.fang.com/shou/3_240975395.html,本周精选单位：汇德国际中层地址：越秀区东风中路楼层：中层面积：545方价钱：21100元/方管理费：10元/平方室内装修：4个经理室、1个会议室、1个40人的区建议行业：电商、IT、互联网、物流、金融大厦交通：地铁1/5号线，多路公交,精装修(可分割)
纯写字楼,甲级,600㎡,"富力盈凯广场项目占地7,900㎡，总建筑面积约104732.47㎡，单层建筑面积约2,400㎡，层数65层，总高达到286米，项目负2层至3层为大堂和配套商业。","['广州', '天河', '珠江新城西', '富力盈凯广场']",(43000元/㎡),2019/9/3 15:04:19,32.00元/平米·月,中区(共65层),富力盈凯广场出售 一线江景 豪华装修 业主亏钱急售 税费少,2580,https://gz.office.fang.com/shou/3_241963878.html,富力盈凯广场简介富力盈凯广场是写字楼，国际商务总部。位于城市新中轴线珠江新城段南端，北临花城大道，南临临江大道，东临珠江大道，西临华夏路，三号线将将来的五号线直接连通物业，地理位置优越，对外交通便利，广州城市CBD的核心部分。大厦内部单位个个都是方正实用的，可以大大提高每个空间的利用率。金融行业在整个珠江新城区域内均可享受政策优惠，入租富力客户可享受富力君悦订房优惠。富力盈凯广场物业详尽富力盈凯广场地址：广州市珠江新城华夏路富力盈凯广场评定：写字楼富力盈凯广场楼层分布：55层，地下4层。独立大堂，1-3层为商场，4-55层为室富力盈凯广场实用率：73％富力盈凯广场楼底高度：2.7米富力盈凯广场电梯：共35台，高质量日本制造高速空调电梯富力盈凯广场停车位：1900元/月（24），1200元/月（12），时租：￥8元/富力盈凯广场管理费：32元/㎡富力盈凯广场周边配套富力盈凯广场周边交通：站：珠江新城;公交站：华夏路站;华穗路站以及花城大道和五羊新城站等富力盈凯广场周边餐饮：潮庭金南香、头啖汤美食酒家、尚苑酒家等富力盈凯广场周边银行：中国银行，工商银行，农村信用社，光大银行等富力盈凯广场优点1、富力盈凯广场，度高;交通便利;硬件配套好;客户多富力盈凯广场缺点2、大厦周边绿化少选择合富合富置业目前在广州专业从事写字楼一手代理项目策划租售及二手租售范畴业务里具影响力的代理机构;拥有完善的架构，分部设于各区写字楼心脏地带;具有全面的一、二手市场资讯，盘源齐全，资讯准确，为广大客户提供专业的写字楼服务。,精装修(不可分割)
纯写字楼,甲级,510㎡,越秀城市广场是一双塔楼物业，南塔楼为39层高写字楼，北塔楼为33层高公寓式写字楼。,"['广州', '越秀', '小北', '越秀城市广场']",(23000元/㎡),2019/9/5 10:49:24,10.00元/平米·月,低区(共39层),东风中路越秀城市广场510平方出售 带租约售,1173,https://gz.office.fang.com/shou/3_242015402.html,,精装修(不可分割)
纯写字楼,甲级,523㎡,,"['广州', '天河', '智慧城', '万科云城米酷']",(18900元/㎡),2019/7/29 22:36:48,13.00元/平米·月,中区(共10层),天河智慧城 万科云城 自用适合/政府政策扶持补贴 个人可买,988,https://gz.office.fang.com/shou/3_240975155.html,"因为专业 中原地产小陈 所以选择一、 万科云城写字楼：『地址』：广州市天河区华观路与高唐路交汇处『管理费』：13元/㎡；（独立控制空调）『交通』：地铁站：智慧城站；（地铁21号线2）；公交： 78a路、578路、581路、773路、901a路、902路、高峰快线32路、夜68路、582路、B26路『室内装修』：精装修、有间隔、会议室、员工区域、玻璃门；『适合行业』：科技，律师，金融,保险,贸易,广告，电商等行业『个人点评』：1.  万科云城米酷位于天河智慧城，政府新型科技集散地，经济发展迅速，GDP仅次珠江新城！蕴藏商机！2.  邻近多条快速主干道，21号线智慧城，捷达珠江新城。3.  双，广佛环线连通广州两大交通枢纽“南站”和“机场”",精装修(可分割)
纯写字楼,甲级,555㎡,番禺天安科技园位于番禺区迎宾路730号，园区空气清新，交通方便，配齐齐全，小区拥有大型地下停车场，实行智能封闭式管理。天安总部中心致力于吸上包括跨国公司地区总部、研发中心、国内大型企业集团总部。重点发展物业联网、新能源、节能环保、软件技术等战略性新兴产业。以互联网技术等低能耗、高附加值的先锋科技产业促进产业的升级与换代、提升城市核心价值，成就“总部经济之都”新典范。 天安科技园建筑面积4万多平方米，拥有研发单元79个，天安科技产业大厦建筑面积8万多平方米，拥有研发单位211个。目前，整个科技园三期项目已引进科技型和总部型企业共计310余家，包括三星中国研究所、中国动漫游戏研发基地等机构。,"['广州', '番禺', '华南', '天安科技园']",(8880元/㎡),2019/7/2 14:49:11,3.50元/平米·月,高区(共10层),天安科技园 555方出售 可以随时交楼,493,https://gz.office.fang.com/shou/3_240173248.html,番禺节能科技园介绍：地址：番禺节能科技园 面积：555平   价格：8880元/平管理：3.5元/平*月    景观：望园景     装修：精装修楼层：8楼  车位：室内/露天 经纪人：林佳波 手机号码：18818866181微信号：18818866181 （欢迎添加了解房源信息）,精装修(不可分割)
纯写字楼,甲级,500㎡,建筑面积：,"['广州', '番禺', '番禺大道', '中铁诺德中心']",(32000元/㎡),2019/8/13 16:47:50,18.00元/平米·月,中区(共37层),中铁诺德中心 全新现楼出售 双大堂设计单价只需32000起 免中介费,1600,https://gz.office.fang.com/shou/3_241395449.html,中铁诺德中心写字楼+单价：3.5万元%2Fm2+售价：1680万元+性质：二手写字楼+：+楼盘：+中铁诺德中心+地址：番禺区+市桥+中铁·诺德中心+面积：480m2+楼层：高区%2F共9层+使用率：70%25+装修：简单装修+分割：可分割+工位数：预计可容纳56~112个+物业费：18类型：写字楼+单价：3.5万元%2Fm2+售价：1680万元+性质：二手写字楼+：+楼盘：+中铁诺德中心+地址：番禺区+市桥+中铁·诺德中心+面积：480m2+楼层：高区%2F共9层+使用率：70%25+装修：简单装修+分割：可分割+工位数：预计可容纳56~112个+物业费：18元/方商圈：万博商圈,精装修(可分割)
毛坯(不可分割),甲级,545㎡,富力盈隆广场项目位处广州市珠江新城中轴北端入口门户位置，为黄埔大道和珠江大道交汇，往来交通便利;西临城市广场，南望B地块街坊中心园林广场，城市环境景观优越;北面获得体育路已成熟完善的商业配套支持，兼得珠江新城中轴未来全面发展的超5星级酒店和各项高端商务服务配套便利，项目作为“门户地标”优势显著无出其右。,"['广州', '天河', '珠江新城中', '富力盈隆广场']",(28000元/㎡),2019/4/18 16:19:11,25.00元/平米·月,中区(共42层),珠江新城写字楼出售 富力盈隆广场 中层电梯口545方 带装修,1526,https://gz.office.fang.com/shou/3_237502235.html,,
毛坯(不可分割),甲级,510㎡,津滨腾越大厦地处珠江新城门户。华夏路与华强路交汇处，北临黄埔大道约50米，西连广州大道约150米，东接华南快速干道约2000米。三核商圈辐射，全能配套完善，尽享珠江新城商圈、天河北休闲购物商圈、琶洲会展商圈三核商圈辐射，彰显不可比拟的商务办公区位优势，同时一公里内五星级酒店、银行、大型购物中心、体育中心等服务配套设施一应俱全。,"['广州', '天河', '珠江新城西', '津滨腾越大厦']",(24350元/㎡),2019/8/19 12:10:22,12.00元/平米·月,高区(共30层),珠江新城 津滨腾越大厦 510方 精装带租约 急售,1242,https://gz.office.fang.com/shou/3_235103395.html,,
毛坯(不可分割),,507㎡,广晟大厦位处天河路与体育东路交汇处，是正佳广场的东塔楼，连接商场主体，与西塔楼相呼应。,"['广州', '天河', '体育中心', '广晟大厦']",(28000元/㎡),2019/9/3 18:13:40,,中区(共25层),广晟大厦 天河南商圈 个人物业 地铁口,1420,https://gz.office.fang.com/shou/3_241970534.html,,
纯写字楼,甲级,550㎡,萝岗奥园广场作为黄埔区府香雪地铁站旁，项目占地10万㎡，总建筑面积40万㎡。 为响应广州东进战略与广深创新长廊之势，项目打造集吃、喝、玩、乐、住、办公等一站式生活体验的大型商业综合体，项目现已盛大交楼即买即可使用，现已吸引众多企业皆已纷纷入驻，目前在售60—680㎡写字楼，极具性价比只要1.6万/㎡起。欢迎莅临品鉴。,"['广州', '黄埔', '萝岗', '萝岗奥园广场']",(17818元/㎡),2019/9/9 10:49:18,5.00元/平米·月,低区(共50层),萝岗奥园广场 口写字楼 独立空调 现楼发售,980,https://gz.office.fang.com/shou/3_242141304.html,,毛坯(不可分割)
毛坯(不可分割),甲级,545㎡,富力盈隆广场项目位处广州市珠江新城中轴北端入口门户位置，为黄埔大道和珠江大道交汇，往来交通便利;西临城市广场，南望B地块街坊中心园林广场，城市环境景观优越;北面获得体育路已成熟完善的商业配套支持，兼得珠江新城中轴未来全面发展的超5星级酒店和各项高端商务服务配套便利，项目作为“门户地标”优势显著无出其右。,"['广州', '天河', '珠江新城中', '富力盈隆广场']",(27500元/㎡),2019/6/17 11:39:32,25.00元/平米·月,低区(共42层),珠江新城写字楼出售 富力盈隆广场 中层电梯口545方 带装修,1499,https://gz.office.fang.com/shou/3_239696214.html,,
毛坯(不可分割),乙级,500㎡,"VILI威尼国际建筑于广州天河北林和西路的西侧，东邻广州火车东站，南接中泰国际广场，西靠广州军事体育学院，北瞰火车东站站台及广园东路。
      威尼国际坐镇广州新城市中轴线，总占地面积近6000平方米，总建筑面积8.6万平方米，威尼国际地上部分共三十一层, 一、二层是商业功能, 三层架空层，四至三十一层为写字楼和酒店式公寓。项目总套数1218套。","['广州', '天河', '天河北', '威尼国际大厦']",(22500元/㎡),2019/9/3 18:15:20,13.00元/平米·月,高区(共33层),威尼国际 八套相通 天河北火车东商圈 双地铁口,1125,https://gz.office.fang.com/shou/3_241970594.html,,
,甲级,571㎡,壬丰大厦，坐落在广州天河东路和天河路交界处，周边有学校、科研机构，银行、邮政、酒店等。,"['广州', '天河', '石牌桥', '壬丰大厦']",(23000元/㎡),2019/5/16 10:00:27,18.00元/平米·月,低区(共41层),广州天河路纯写字楼571平方米出售,1313,https://gz.office.fang.com/shou/3_238548988.html,交通便利，地铁、公交、BRT,低区(共41层)
纯写字楼,甲级,550㎡,富力盈泰广场位于黄埔大道及猎德路交汇处，地处珠江新城，周遍商业气氛浓厚。项目占地14498㎡，总建筑面积135278㎡，由两栋25层塔楼组成，8000平方米生态广场。首3层是商业配套，4层以上是办公楼，户型面积由130㎡～2200㎡，开间灵活，可自由搭配。,"['广州', '天河', '珠江新城东', '富力盈泰广场']",(29800元/㎡),2019/8/20 13:31:12,20.00元/平米·月,中区(共25层),富力盈泰广场 黄埔大道旁 自用均可 带租约 可提前解约,1639,https://gz.office.fang.com/shou/3_241581246.html,富力盈泰大厦简介:      富力盈泰大厦位于珠江新城黄埔大道及猎德路交汇处，地处CBD核心，周边商业气氛浓厚，是富力地产珠江新城的重头戏。由两栋25层塔楼组成。首3层是黄埔大道品牌旗舰商业配套，4层以上是楼层，户型面积由130～2200㎡，开间灵活，可自由搭配。项目致力打造珠江新城超写字楼标准，邀请国际设计公司WOODS BAGOT担纲设计，采用独立计量的水源热泵式空调，24与国际接轨，3.95米空间环境舒适。富力盈泰大厦物业详尽:富力盈泰大厦地址：广州市天河区黄埔大道100号富力盈泰大厦楼层：共25层，地下3层为停车场，－1楼管理处和车库，13层商业配套，4层以上为写字楼富力盈泰大厦实用率：72%富力盈泰大厦楼底高度：3.95米富力盈泰大厦电梯：客梯8台，货梯2台富力盈泰大厦停车位：649个车位，月租1900元/月（24），月租1200元/月（12，7：00-20：00），时租8元/富力盈泰大厦管理费：20元/平方/月 富力盈泰大厦周边配套:富力盈泰大厦周边交通：地铁站：体育西路地铁站、地铁线路：地铁三号线，地铁一号线；公交车站：冼村路中、珠江新城、 天河城、 天河公交场总站、 体育东路、 冼村路北、 人民日报华南分社、 冼村、天河邮局、 金穗路等近五十路线；客运站：广州东站汽车客运站，广州市锦汉天河大厦汽车客运站仅需30。富力盈泰大厦周边餐饮：名潮新观园、韦士拿西餐厅、红城堡西餐酒廊等富力盈泰大厦周边银行：工商银行、招商银行、建设银行、中国银行等,精装修(不可分割)
纯写字楼,甲级,506㎡,广晟大厦位处天河路与体育东路交汇处，是正佳广场的东塔楼，连接商场主体，与西塔楼相呼应。,"['广州', '天河', '体育中心', '广晟大厦']",(26007.91元/㎡),2019/8/21 22:28:11,26.00元/平米·月,中区(共29层),正佳广场楼上 广晟大厦 三面采光 高层景观靓,1316,https://gz.office.fang.com/shou/3_241626717.html,请拨打我的电话，更多盘提供！	15322027895（微信同号）	广晟大厦简介	广晟大厦位于天河路与体育东路交汇处，天河区商圈尽览无遗，广州广晟大厦是正佳广场的东塔楼，连接主体，与西塔楼相呼应。广晟大厦首层采用人流和办11公人流分开的布局办法，、写字楼各有出入口、大堂及电梯。广州广晟大厦落成于2005年，广州广晟大厦全层分布了10个单元，01单位可望体育全景，景观好！广州广晟大厦是集商务、、购物为一体的*智能化写字楼。广晟大厦物业详尽	广晟大厦地址：广州市天河区天河路228号	广晟大厦楼层：总楼层为25层；1-5层为，6-25层为写字楼；地下1层为停车场	广晟大厦实用率：70%	广晟大厦楼底高度：2.7米	广晟大厦电梯：7台进口三菱电梯	广晟大厦停车位：1000多个车位，月租2000元/月（24*）	广晟大厦管理费：26元/平方/月广晟大厦周边配套	广晟大厦周边交通：地铁：地铁一号线体育站、体育西站，地铁三号线石牌桥站。	公交：天河城公交车站，20余线行经	广晟大厦周边餐饮：真功夫、KFC、麦当劳、星巴克等	广晟大厦周边银行：工商银行、招商银行、建设银行、中国银行等广晟大厦优、缺点	广晟大厦优点	1、 交通网络完善，*，多线路行经	2、 单位方正实用，易于间隔	3、 物业管理质素高，配套设施完善	广晟大厦缺点	1、 大厦地层采光不足，需求有限	2、 大堂不够气派，对大厦形象有所影响	本人专注广州市区域写字楼，乐意为您提供专业的写字楼*服务。本人保证盘源真实有效，您的满意就是我的服务宗旨。	另有富力盈通大厦、富力盈信大厦、富力盈隆广场广场、富力盈凯广场、保利克洛维、越秀财富等写字楼出售，单价从22000-45000元/不等，且本人主要从事商业写字楼买卖，成交案例诸多。对体育、琶洲及越秀区板块楼盘亦熟悉，乐意为您提供服务。请拨打我的电话，更多盘提供！谢谢！,简装修(可分割)
纯写字楼,甲级,528㎡,"中信广场共包括1幢80层办公楼、2幢38层附楼、4层商场裙楼及2层地下停车场。主楼高达391米，中信广场配备卫星天线，光纤通讯，中央冷气，后备电源，10,000条IDD和传真线路；34部进口日立高速升降电梯；地库设有2层停车场，车位超逾900个，办公室设施配套齐。","['广州', '天河', '天河北', '中信广场']",(25000元/㎡),2019/8/8 16:52:25,29.00元/平米·月,中区(共81层),地标中信广场 交通方便 产权清晰 南向望 528方 25000元,1320,https://gz.office.fang.com/shou/3_241251328.html,中信广场简介中信广场位于中国广州天河区新城中心，共包括1幢80层摩天大楼中信大厦、2幢38层附楼、4层作为商场的裙楼以及地下2层的停车场，广州火车东站。其摩天大楼为广州市*的大楼，落成于1996年，是广州的标志性建筑之一，目前是很多全球500强公司在广州的地点。其低层为商业中心，包括广州友谊商店等消费商场。它面向天河体育中心，背后是广州火车东站和广州地铁总站，地理位置优越，拥有*的*环境，落成不久即身价百倍，成为广州市*的*商业楼盘。中信广场物业详尽中信广场地址：广州市天河区天河北路233号中信广场楼层：共3栋楼，主楼为总高80层的写字楼，1楼大堂，2-8F为机房，9-75F为写字楼，76-80F为设备层，27、47、67F为避难层；副楼为2栋38层的*。中信广场实用率：65-68%中信广场楼底高度：吊顶后净高2.6米中信广场电梯：共有34台日立高速升降电梯；电梯分布9-17F，18-26F，28-38F，39-46F，48F为转换层，49-57F，49-75F中信广场停车位：逾900个车位，月租2000元/月（固定24*），时租10元/*，5元/半*，80元封顶中信广场管理费：29元/平方/月中信广场周边配套中信广场周边交通：地铁3号线林和西站D出口，邻近地铁1、3号线总站广州火车东站中信广场周边餐饮：星巴克、哈根达斯、王子厨房、逸和轩酒家等中信广场周边银行：工商银行、中信银行、建设银行、*银行等中信广场优、缺点中信广场优点1、  位于广州中轴线，是广州市的地标性建筑物，度2、  硬件配套完善，物业管理素质好3、  位于*，交通四通八达中信广场缺点1、  停车费用较高2、  周边写字楼云集，上下班高峰交通较为拥堵选择**工部成立于2009年，目前在广州专业从事写字楼项目策划租售及二手租售范畴业务里具影响力的代理机构；拥有完善的架构，分部设于各区写字楼*地带；具有*全面的一、二手市场资讯，盘源*齐全，资讯*准确，为广大客户提供*专业的写字楼服务。,精装修(可分割)
