,locations
3052,法华寺社区
3053,北人集团
3054,安宁庄前街东口
3055,下板泉
3056,新源西里社区
3057,永乐大街
3058,丁家洼
3059,四元桥东
3060,河南台村
3061,兴盛胡同
3062,九渡河镇
3063,上水峪
3064,车公庄北
3065,老沟门村
3066,望京医院
3067,邵庄子
3068,朝阳
3069,轿子胡同
3070,石石巷村
3071,永泰小区
3072,阎家渠村
3073,滨角园
3074,庆平胡同
3075,汤河村
3076,沙台子
3077,解放街村
3078,太师屯镇邮局
3079,车道峪村
3080,南法信小学
3081,大羊坊北村
3082,景山
3083,金顶街四区
3084,建材城环岛
3085,国家体育场东
3086,北石槽
3087,工业区路口
3088,广二区社区
3089,康营小区
3090,二监居委会
3091,赵全营村
3092,光织谷东
3093,峰台
3094,牡丹园西里社区
3095,西湾子大队
3096,白家疃东口
3097,国际港
3098,赵堂子胡同
3099,爨底下村路口
3100,华云人防构件厂
3101,梁家铺
3102,南宫商业街
3103,天通苑太平庄
3104,南池子
3105,草场地村
3106,双吉寺
3107,汽车站东
3108,祥龙公交公司
3109,北京国际雕塑园
3110,阜成门内
3111,吴营
3112,八一电影城
3113,宗家营村
3114,马家庙
3115,冯家营村
3116,巨星桥北
3117,白广路北口
3118,夏各庄东区
3119,地铁首经贸站
3120,魏善庄灯岗
3121,南新园
3122,云蒙山
3123,界牌站
3124,青甸村
3125,三环英和医院
3126,平渊胡同
3127,红寺一桥
3128,密云鼓楼
3129,慧忠北里北
3130,金星路东口
3131,瑶台山庄
3132,金世纪学校
3133,果园
3134,东桑园村
3135,中国传媒大学
3136,龙湾屯镇
3137,良乡体育中心
3138,董各庄村
3139,果园村
3140,杨镇一中
3141,大仁庄
3142,王家屯
3143,杨宋庄
3144,陈家坨西
3145,青山
3146,西猪营
3147,八里店东口
3148,绿友园
3149,张新庄村
3150,井儿峪村
3151,延庆莲花池
3152,燕郊行宫宾馆
3153,松树掌村
3154,狼各庄道口
3155,榴乡桥南
3156,燕京啤酒集团
3157,金台路口南
3158,杨庄中区社区
3159,郎各庄西
3160,李家巷村
3161,北正村
3162,上地三街西口
3163,常营北站
3164,屎壳郎胡同
3165,加州水郡
3166,高粱桥
3167,皇木场村
3168,新源大街南口
3169,宝山寺
3170,北尚乐
3171,大营村
3172,花家地北里社区
3173,新城宿舍楼
3174,汤河桥
3175,南采石路南口
3176,狼各庄南口
3177,槐柏树街东口
3178,核桃园社区
3179,北新桥
3180,农机驾校
3181,长建驾校
3182,宏达中路
3183,马驹桥商业街
3184,南法信村委会骏马
3185,黄渠
3186,新新公寓东门
3187,唐庄
3188,三义里社区
3189,黄化门社区
3190,保安胡同
3191,丰收社区
3192,前鲁各庄村
3193,定福庄西村
3194,庞各庄桥
3195,西田各庄镇小水峪
3196,金桥时代家园
3197,闫村
3198,东扬威胡同
3199,供销公司
3200,上两河
3201,昌平四合新村
3202,龙腾苑六区西门
3203,团结湖路
3204,密云交通队
3205,聚源商场
3206,小厂胡同
3207,故宫
3208,罗庄社区
3209,沙坨
3210,卢庄村东口
3211,中绦胡同
3212,团河北站
3213,博达中路
3214,湖北镇
3215,东村家园西门
3216,小王庄村
3217,小高舍南
3218,珠江御景小区东门
3219,航港大厦站
3220,嘉创二路路口西
3221,桃园村
3222,颁赏胡同
3223,海关西园
3224,瑞合庄一村
3225,碓臼峪大桥
3226,北岗子东站
3227,大甘棠村
3228,南河东村站
3229,石板房胡同
3230,卸甲山村
3231,松榆东里南门
3232,牛圈子
3233,索爱电子
3234,樊羊路口东
3235,温泉公寓
3236,霍营公交场站
3237,半岛广场北门
3238,桥上村
3239,狼垡四村
3240,东煤厂
3241,东沿头村
3242,九龙家园
3243,乐园西小区
3244,吉利环岛
3245,军庄镇
3246,百代门
3247,五一四二五部队
3248,小屯村
3249,西四北五条
3250,云秀花园社区
3251,北京人文大学
3252,车子营胡同
3253,生命园公交场站
3254,金蝉北里
3255,北城子村
3256,郝家庄路口
3257,一街村
3258,下洼子
3259,双花园西里
3260,郝庄子
3261,滨湖社区
3262,东西大屯
3263,文华路南口
3264,昌平东街
3265,沙窝批发市场
3266,黄坨子路口
3267,鼓楼南区社区
3268,万里村南站
3269,暴峪泉
3270,乃干屯西
3271,居庸关收费站
3272,辛安庄路口
3273,西仓门
3274,越桥
3275,南屯村
3276,苏州街
3277,西帽湾
3278,北京世纪坛医院
3279,杨镇派出所
3280,太子务西口
3281,长店
3282,三一六医院
3283,德外大街西社区
3284,蝴蝶园
3285,转年
3286,老公庄村
3287,葡萄嘴环岛南
3288,二站
3289,八宝山
3290,小寺
3291,南水关
3292,后野厂村
3293,瑶亭
3294,八角东街西站
3295,景园
3296,马场村
3297,马家湾
3298,开发区
3299,翠林一里社区
3300,梁家务村
3301,顶银胡同
3302,宁村西
3303,李家峪南
3304,中航国际
3305,南苑北里第二社区
3306,河荫西路西口
3307,薛庄村口
3308,铁炉
3309,水电站
3310,辛营村
3311,河北检查站
3312,张镇西营
3313,史家坑社区
3314,上地东街中路
3315,魏家湾
3316,张家台
3317,大兴新机场工程总承包部
3318,北独乐河村
3319,南马庄
3320,正通路口
3321,邓家屯村
3322,中苑宾馆
3323,阳坡地一站
3324,芳古园二区社区
3325,安家庄村
3326,东坝中路
3327,王泉营
3328,园博园三号门
3329,桥梓南
3330,瓦官头
3331,超前路富康路口
3332,方庄环岛南
3333,丰体时代花园
3334,左北里社区
3335,觅子店卫生院
3336,穆园子村
3337,218厂
3338,马家堡东里社区
3339,南邵村
3340,景泰
3341,采育路口
3342,南聂庄村
3343,北沙滩桥西
3344,经海路地铁站
3345,河南辛庄西口
3346,金域华府西门
3347,马连洼村
3348,明皇宫
3349,万芳桥北
3350,珠江御景
3351,环卫局小区
3352,石湖根南
3353,果岭东
3354,笤帚胡同
3355,殿臣峪
3356,建新庄村
3357,马堤
3358,沙窝桥西
3359,南小区
3360,沙窝桥东
3361,学各庄村
3362,大石作
3363,样本小区
3364,古石峪村
3365,南仪阁村
3366,马连店道口
3367,天宝园六里
3368,和平门内
3369,新中街
3370,康居南口
3371,西水峪村
3372,地坛东门
3373,南纬路社区
3374,蔡托
3375,云峰寺村
3376,鼓楼桥西
3377,钱粮胡同
3378,卜营村
3379,西马场北里社区
3380,后泥湾
3381,神山
3382,车子胡同
3383,国彩印刷
3384,王家楼村
3385,松园小区西门
3386,松兰堡西站
3387,太常寺街
3388,西古石岩
3389,曙光花园
3390,延庆古城
3391,张新庄
3392,大施兴胡同
3393,二分场
3394,东峪
3395,茂陵村
3396,龙腾园二区西门
3397,新立街社区
3398,郑二营
3399,环坨子小学
3400,芦求路口
3401,大鲁店一队村
3402,创展家居
3403,欧亚德
3404,河南寨中学
3405,康庄路东口
3406,大庄农贸市场
3407,邮科社区
3408,铁厂胡同
3409,西潞北大街
3410,龙泉西公交场站
3411,遥岭
3412,张辛庄村
3413,吉庆庄村
3414,黄山店东
3415,黄松峪中学
3416,东石片
3417,石景苑北
3418,西庄户南站
3419,踩河
3420,上庄镇南站
3421,白家地
3422,地铁石门站
3423,六股道
3424,十里河桥北
3425,苏园路口
3426,踩河村西
3427,东水峪村
3428,张湾中学
3429,海洋环境预报中心社区
3430,宝善村西
3431,饮马鞍村
3432,小庄村
3433,航空航天大学北门
3434,石厂环岛
3435,西颂年胡同
3436,武圣东里
3437,老泉口
3438,熊洞沟
3439,彰作
3440,南宅胡同
3441,色树坟西
3442,嘉都
3443,红苹果小区
3444,新华联家园
3445,么铺村
3446,大狼垡
3447,南安河村
3448,孝女台
3449,后郝家疃村
3450,西槐里胡同
3451,大屯路东
3452,小武基桥北南行
3453,汇佳学校北门
3454,九台庄园东站
3455,石榴庄东街社区
3456,山峡南口
3457,宏达南路
3458,龙泉庄
3459,设计院环岛
3460,欣园小区西
3461,戴家胡同
3462,王佐中学
3463,吴家场路
3464,天通苑东区小学
3465,云峰宾馆
3466,三四营南
3467,顾家庄桥南
3468,中直社区
3469,赵家峪
3470,李家坟村
3471,下花园村
3472,鹅凤营西
3473,雁栖学校
3474,后沙峪地铁站
3475,路庄桥
3476,任场路口
3477,澜西园北
3478,八街社区
3479,亮甲店村
3480,第一社区
3481,兴隆街
3482,南堤寺东村
3483,肖庄路口
3484,大宴乐胡同
3485,新城子站
3486,东轿杆
3487,沙子营汽车站东
3488,玉泉营桥北
3489,地铁临河里站
3490,套里村
3491,西客站
3492,亦庄医院南院
3493,亦庄镇
3494,环铁居委会
3495,燕山工业区
3496,陶家坟
3497,庄户
3498,菜园北里社区
3499,石板台村
3500,地铁立水桥北站
3501,居庸关
3502,华冠锅炉厂
3503,基地
3504,天坛西胡同
3505,城铁双桥站
3506,崔家楼
3507,唐指山村
3508,天通北苑三区北门
3509,天宝园
3510,凉水河社区
3511,怀柔迎宾环岛
3512,尹各庄路口
3513,后桃洼
3514,阁老峪村
3515,弘善寺
3516,小黑垡村
3517,静淑苑小区
3518,龙泉胡同
3519,西白岱西
3520,孙村开发区
3521,坨里
3522,元庄
3523,北郊面粉厂
3524,地图经海路站
3525,郝家台村
3526,南张庄
3527,昌平宽街
3528,东坛根
3529,南纬路二号院社区
3530,香河鑫义公司
3531,黄土坡军工路社区
3532,西三环二社区
3533,啤酒厂北站
3534,强制治疗管理处
3535,金各庄村
3536,太平桥路
3537,板厂南里社区
3538,五道口
3539,果各庄北站
3540,大赴任辛庄西口
3541,望园路北口
3542,缎库后巷
3543,周口店
3544,洙水临时
3545,小杨庄路口
3546,南湾子
3547,石科院社区
3548,坡头小区
3549,太师屯村
3550,大葛庄村
3551,南门东站
3552,桃园
3553,定海园北
3554,半壁店中学
3555,毛官营
3556,石园市场
3557,言志胡同
3558,磁家务北站
3559,甜水园北里
3560,北臧村
3561,军区联勤部大院社区
3562,国学胡同
3563,许各庄
3564,西庄户北站
3565,南湖中园南门
3566,白各庄加油站
3567,房山辛庄
3568,三环新城小区三号站
3569,远大职高
3570,务滋
3571,汇佳南门
3572,西城区
3573,月华小区
3574,嘉成园小区
3575,表背胡同
3576,太阳宫居委会
3577,地铁苹果园西
3578,十里河
3579,云居寺道口
3580,清河营中街东口
3581,后甫营路口西
3582,承恩胡同
3583,神驹
3584,宏达路南口
3585,光华桥南
3586,永安东里社区
3587,城隍庙街
3588,星光影视园
3589,东钱串
3590,西三村部队
3591,花家地西里社区
3592,大柳树南站
3593,庄禾屯村
3594,大兴马各庄路口
3595,龙虎山庄
3596,豹花胡同
3597,宏盛家园南
3598,密云工会
3599,东厂
3600,东大街
3601,六道口
3602,延庆劳动局
3603,运通中医院
3604,奤夿屯北
3605,采伟路北口
3606,临河里
3607,黑古沿
3608,兴平仓
3609,金家村桥北
3610,横城子
3611,四通桥南
3612,倚林佳园东门
3613,西直门南
3614,禄米仓
3615,花港村
3616,南河车站
3617,玉江佳园
3618,羊头岗东
3619,后辛房村
3620,体育中心
3621,北七家
3622,北桃园东
3623,元宝胡同
3624,西太平
3625,香儿胡同
3626,红寺东
3627,三合路
3628,兵马营村
3629,十里河桥西
3630,大兴庄
3631,王立庄村
3632,姚店村
3633,莲宝中路南口
3634,西红门十二村
3635,裕龙六区
3636,高岭屯站
3637,苇店村
3638,韩台村
3639,王府公寓
3640,雁栖北三街
3641,东花厅胡同
3642,市场北门
3643,学院桥
3644,密云行宫小区
3645,向春胡同
3646,三座庵
3647,林上村
3648,北苑村东站
3649,东风街道
3650,雁栖镇北口
3651,大兴区社保中心
3652,胡辛庄村
3653,沙窝店场站
3654,滨湖南街
3655,智义伯胡同
3656,柳林馆路
3657,北运河西
3658,密云法院
3659,城铁育知路站
3660,下庄社区
3661,周口店社区
3662,城市驿站
3663,教育夹道
3664,柳林馆
3665,嘎嘎胡同
3666,十三陵水库
3667,阁老峪路口
3668,霍村
3669,蓝星公司
3670,公和庄
3671,八十亩地南
3672,侯东仪村
3673,通运门
3674,炮局社区
3675,青云店市场
3676,西太平南站
3677,火药局胡同
3678,北姚园
3679,蒲黄榆第二社区
3680,石州营
3681,东马坡村
3682,昌平南口北站
3683,泽丰苑社区
3684,五里桥
3685,沁水营村
3686,北庄大队
3687,应寺村
3688,大剧院东口
3689,梨园店
3690,东庄路口
3691,玉泉路口西
3692,四海
3693,莲花新村
3694,叵罗仓
3695,桑普科技园
3696,黑豆峪幼儿园
3697,义和庄东里社区
3698,西杏园村
3699,南韩继
3700,后门
3701,杏花东里社区
3702,永和庄
3703,国际艺术学校
3704,马刨泉
3705,龙禧苑五区西门
3706,建明里
3707,永安批发市场
3708,峨嵋山村
3709,荆圈村
3710,灵官庙
3711,黄村地区
3712,北大地
3713,中捷通
3714,国防大学永定路社区
3715,漷县村南口
3716,平谷滨河小区
3717,安乐庄村
3718,双庙
3719,幸福东园社区
3720,太平庄明慧嘉园
3721,马头山桥
3722,仙泽园
3723,前门西河沿社区
3724,光源里社区
3725,军留庄村
3726,花园
3727,唐洞
3728,燕郊中燕小区
3729,东银丝胡同
3730,怀柔学管中心
3731,山峡村
3732,永宁
3733,清华南门
3734,京旺家园中街南口
3735,青云社区
3736,南环中路
3737,莫奈花园
3738,祖务
3739,南官园胡同
3740,积水潭桥东
3741,景山街道
3742,青年路小区第二居委会
3743,于庄
3744,东单路口南
3745,白盆窑东
3746,铁香炉
3747,金星加油站
3748,四司
3749,南念头
3750,四海山东沟
3751,焦化厂
3752,老幼儿园
3753,南达峪村
3754,三台山居委会
3755,马泉营
3756,西村行
3757,半截塔村北站
3758,能仁胡同
3759,埝坛东口
3760,刘里店路口
3761,前沿村
3762,太平街
3763,北河中学
3764,军委电台部队社区
3765,中大屯
3766,平谷新车站
3767,会议中心
3768,补儿胡同
3769,赵村
3770,苏州胡同
3771,开放路南口
3772,许戏子
3773,安各庄
3774,皂甲屯村
3775,陈家峪村
3776,北京华侨城北站
3777,南沙窝桥南行
3778,五里庙
3779,北吉山村
3780,天竺西站
3781,长子营镇政府
3782,报国寺社区
3783,顺义新城生态调水管理中心
3784,怀柔四中
3785,金蝉北路西口
3786,青云店镇
3787,西北旺村
3788,次渠
3789,东联哈尔
3790,云峰寺路口
3791,迎喜家园
3792,东兴小区第一社区
3793,旧县镇古城
3794,北大街北里社区
3795,槐房路南口
3796,青塔东里社区
3797,豹房胡同
3798,动物园枢纽站
3799,东斋堂村
3800,南皋村北口
3801,北干沟
3802,林业大学社区
3803,统军庄路口北
3804,大石碑胡同
3805,中国农业科学院南门
3806,常里营村
3807,泰河园小区
3808,雨笼胡同
3809,白木
3810,屯绢胡同
3811,王楼村
3812,密云汽车站东行
3813,堰上路口
3814,超前路西口
3815,四海桥北
3816,佟辛庄村
3817,杨庄西
3818,劲松东社区
3819,黄土梁村
3820,十里堡北区
3821,彰化路西口
3822,东岭
3823,满井东村
3824,巨各庄镇政府
3825,东桑园路口
3826,牛富屯村
3827,北辰东路社区
3828,南豆芽胡同
3829,巨山路南口
3830,前井胡同
3831,郁花园北
3832,西海西社区
3833,空港物流开发区
3834,松榆里社区
3835,金星庄村
3836,昌平西街物美
3837,静淑苑
3838,前岭上
3839,新城嘉园AB区
3840,夏各庄
3841,普惠南里
3842,三里河东路南口
3843,十八里店乡政府
3844,北京顺城公园
3845,礼贤镇西口
3846,老峪沟村
3847,兴亦路
3848,延庆县工会
3849,东大桥
3850,吉晟别墅
3851,苑南村
3852,金盏乡
3853,分钟寺社区
3854,于辛庄村北
3855,张郭庄
3856,白河风景区
3857,穆家峪中心小学
3858,高尔夫球场
3859,皮各庄南口
3860,甘涧峪
3861,南翔凤胡同
3862,海滨胡同
3863,南梨园北站
3864,永三村
3865,走马庄
3866,卧龙苏家沟
3867,外馆斜街
3868,后辛庄村
3869,良乡豆各庄
3870,西下营东
3871,良乡二街村
3872,远大路东口
3873,老山街道
3874,南利民胡同
3875,上堂子
3876,皮村西口
3877,西长沟
3878,北苑路北
3879,北章客村
3880,侯庄路口北
3881,良山
3882,顺义古城西大街
3883,东焦各庄
3884,会展中心
3885,冶金火车站
3886,太平路36号院北门
3887,北沟沿胡同
3888,西单民航大厦
3889,南金沟屯村
3890,北太平庄社区
3891,万盛中二街
3892,红铜营
3893,建材城东一里
3894,昌平一中路口
3895,龙脉温泉
3896,潞城镇政府
3897,后王各庄北
3898,上庄东小营北口
3899,白塔村
3900,昌平南口东站
3901,卓家营路口
3902,石虎胡同
3903,平谷岳各庄桥
3904,娘娘府
3905,嘉园一里社区
3906,马连店南口
3907,团河工业园
3908,天通苑北三区
3909,小庄子
3910,后厂村东
3911,营城子小区
3912,万泉庄北社区
3913,上庄子村
3914,前王各庄
3915,小沙河村南
3916,新桥村
3917,石头胡同后河
3918,海鑫路口
3919,学院路北口
3920,林萃路口北
3921,汇源路公交场站
3922,西教场胡同
3923,养鱼池村
3924,向阳村南
3925,来广营路口西
3926,小葆台南
3927,河滩西街社区
3928,龙湾屯中心小学
3929,草场大坑
3930,张谢桥
3931,洗车店
3932,刘两河村
3933,两间房
3934,公益桥东行
3935,府右街南社区
3936,良正巷
3937,望京西园三区社区
3938,南直河
3939,丰善路口
3940,小董村
3941,沙沟路口东
3942,燕丹
3943,沙厂村
3944,小牌坊胡同
3945,空港b区
3946,临河里路南口
3947,金地朗悦
3948,中和街
3949,云岗砖厂
3950,山西
3951,安香峪
3952,龙门一区
3953,酒仙桥东路南口
3954,米家堡
3955,东菜园西区南
3956,农业展览馆
3957,翟里联防队
3958,东庄禾道弯
3959,杨镇第一社区
3960,富康路南口
3961,三官庙
3962,京开康庄路口
3963,流星花园社区
3964,南楼梓庄
3965,绿野育博园
3966,噶噶胡同
3967,国税路口
3968,夏威夷东
3969,空港医院
3970,四环社区
3971,兴盛街
3972,天桥湾居委会
3973,牛栏山一中
3974,富庄村
3975,董家沟
3976,张旺胡同
3977,崇文门
3978,南樱桃园路口北
3979,中国农业科学院印刷厂
3980,北杨家桥
3981,史家桥
3982,北顺城街
3983,三眼井胡同
3984,羊各庄南口
3985,枣营北里社区
3986,太子务大队
3987,小三渠村
3988,大安澜营胡同
3989,广外关厢
3990,郎府乡政府
3991,北京植物园
3992,黄寺
3993,世纪星城
3994,南湖南路北口
3995,普安屯村
3996,前庄子
3997,平峪
3998,批发市场
3999,塔院社区
4000,延庆水泥厂
4001,绍家坡
4002,南锣鼓巷
4003,连山石村
4004,西利市营胡同
4005,北下关社区
4006,杜家坎北
4007,王四沟门
4008,北京体育馆西
4009,商业街社区
4010,李家峪北
4011,延庆交通局
4012,菜园六条
4013,东白疃
4014,小井
4015,荆子峪
4016,北小园
4017,板桥西口
4018,五里仓第二社区
4019,前北宫
4020,南口玻璃厂
4021,妇幼医院
4022,官庄路口
4023,沙坞
4024,上店西口
4025,北太平桥北
4026,小王辛庄村
4027,大村
4028,孵化场站
4029,福苑北区
4030,旗舰凯旋小区
4031,新街口南
4032,河北客运站
4033,金密路口
4034,甘营
4035,巴沟
4036,佟麟阁大街
4037,西地村
4038,丰西路社区
4039,园田队
4040,里二泗北口
4041,荣华路南环岛北
4042,大甘棠
4043,零三油站
4044,西长峪路口
4045,青云胡同
4046,枯柳树
4047,南芦草园胡同
4048,新北路社区
4049,地铁北宫门站
4050,东风地区
4051,锦绣大地物流港
4052,周营路口
4053,吕家营村
4054,曹各庄东站
4055,北京十中
4056,杏树台大队
4057,人民日报社区
4058,乐家胡同
4059,牛街路口东
4060,恋日家园
4061,和义农场
4062,房山岳各庄
4063,臧家桥胡同
4064,马家堡街道
4065,东花市
4066,金牛路南口
4067,前口袋胡同
4068,荆梢坟
4069,厂洼街东口
4070,杏花峪
4071,龙锦苑四区
4072,应寺村西口
4073,徐辛庄敬老院
4074,都市芳园社区
4075,后南台村
4076,东关南里东门
4077,刘斌堡西口
4078,肖庄村南
4079,上园子
4080,官牛坊
4081,东南社区
4082,北上坡村
4083,东方大厦
4084,夹道灯岗
4085,骚子营社区
4086,大慧寺
4087,黄庄东站
4088,双峪小区
4089,二铺
4090,林业科学研究院
4091,后撒袋胡同
4092,夏店村
4093,万亩梨花庄园南
4094,常营中路东口
4095,冯家峪镇
4096,北流村
4097,北新家园北口
4098,知本时代社区
4099,西白瞳
4100,大庙峪村
4101,麻峪房
4102,安德路北社区
4103,前八家北站
4104,桃洼东
4105,万寿路口西
4106,棋盘地
4107,沙堆营村
4108,科技路
4109,郑福庄
4110,动物园社区
4111,簸箕营
4112,平谷客运总站
4113,复兴路号社区
4114,金鸽园小区
4115,霸州一中
4116,紫竹桥
4117,平各庄
4118,曙光里
4119,东小营西
4120,安宁南里社区
4121,金潮玉玛酒店
4122,东大桥环岛
4123,柿子店
4124,色树坟村
4125,首钢试验厂
4126,古城西路南社区
4127,大柏老
4128,化工桥西
4129,十三陵景区
4130,满井桥东
4131,龙庄村
4132,任庄
4133,杨宋镇花园
4134,荣京东街中路
4135,北寺北口
4136,水泥厂社区
4137,双源桥东
4138,清华阳光
4139,霍各庄村
4140,魏家店北
4141,大剧院南口
4142,郝庄家园北区社区
4143,西府营村
4144,佳世苑小区
4145,护仓胡同
4146,郎辛庄
4147,六合园中街
4148,钟鼓寺胡同
4149,瑞和庄
4150,珠江逸景
4151,万家城
4152,福利农场
4153,八里店
4154,华龙苑南里北门
4155,香河紫辰集团
4156,房山客运站
4157,太阳宫公园
4158,闫家庄村
4159,东南召
4160,石梯村
4161,聂山东营
4162,燕化换乘
4163,前洪井
4164,密云新农村中学
4165,西沙地村
4166,石油天然气
4167,桥梁厂第一社区
4168,辛集村南行
4169,潞城营四村
4170,张家庄
4171,巴各庄村
4172,白河堡水库管理处
4173,湖北小区
4174,密云新农村东行
4175,巨山家园社区
4176,潘家园东路北口
4177,国风美仑
4178,梅兰家园
4179,太师屯政府
4180,密云公安局
4181,羊圈胡同
4182,北弓匠营
4183,太保街
4184,索红
4185,刘李店
4186,楼台村
4187,纪各庄村
4188,寿屏胡同
4189,干面胡同
4190,麻子峪村
4191,正耀路
4192,八一射击场
4193,帽行胡同
4194,中山公园西门
4195,碧水庄园
4196,山神庙
4197,东翠路口
4198,上宝庆胡同
4199,北运河东
4200,春风社区
4201,国际展览中心
4202,辛庄
4203,立水桥村
4204,葫芦垡村
4205,太玉园
4206,黄花城村
4207,官志卷
4208,梁根
4209,西红门八村
4210,黄鹅路
4211,长阳
4212,泰陵园村东
4213,赤鲁
4214,常营路口南
4215,鹅房村
4216,杜兰庄站
4217,小河湾
4218,上庄南口
4219,月台大门
4220,金惠园三区社区
4221,云趣园
4222,坞里村
4223,沿河村
4224,东路社区
4225,善果胡同
4226,万娘坟
4227,运河苑建材城
4228,北京信息职业技术学院
4229,王府仓胡同社区
4230,建材市场
4231,岗子村
4232,菜户营社区
4233,后俸伯
4234,扬俭胡同
4235,世涛天朗小区
4236,王坡村
4237,五里坨二站
4238,解洲营
4239,底炉下口
4240,东鲁大队
4241,梁家园社区
4242,科技大学
4243,三垡南口
4244,一四二中
4245,三合庄园
4246,永乐西小区北社区
4247,香屯北站
4248,庙尔卷村
4249,小牌坊社区
4250,安华桥南
4251,西小营南站
4252,刘里店北
4253,大松垡村北口
4254,恩济里小区
4255,九龙山庄
4256,孙家坑胡同
4257,小陈各庄
4258,漷县村
4259,安慧里社区
4260,鱼子山村口
4261,燕郊迎宾路口
4262,石河
4263,天安门西
4264,十里堡北里
4265,瞧煤涧路口
4266,付各庄
4267,中医道口
4268,北官厅胡同
4269,五座山
4270,昌平北站西
4271,中国服务大厦
4272,大星发超市
4273,北苑路大屯东
4274,东合盛村
4275,太后
4276,西园社区
4277,北京林业大学
4278,宏福苑西站
4279,香水峪三站
4280,龙域北街
4281,二区二社区
4282,龙凤山砂石厂社区
4283,香山
4284,迎宾路站
4285,下花楼
4286,北务大集
4287,黄村兴盛街
4288,新居里
4289,西芦垡村
4290,狼垡西
4291,北姚园村
4292,北安河西口
4293,地铁天宫院站
4294,宝珠子胡同
4295,温庄子
4296,张坊
4297,顺恒大街北
4298,厢红旗社区
4299,皇后台村
4300,密云后厂村
4301,阜石路第一社区
4302,北京和承公司
4303,金星西路西口
4304,万盛北里
4305,西营三村
4306,平谷区供电局
4307,后栗园村
4308,西大营北站
4309,安贞大厦
4310,花园闸北里南区居委会
4311,陈留村
4312,机床所
4313,东白岩
4314,横桥村东
4315,了思台
4316,地铁梨园站
4317,南五老胡同
4318,北新仓
4319,小屯社区
4320,八五三部队
4321,小脚胡同
4322,中国青年政治学院社区
4323,学各庄路口
4324,周村北口
4325,栗元庄村
4326,孝义营村
4327,广阳城
4328,良乡一街第二社区
4329,鲁谷村社区
4330,菜台小道
4331,香堂村口
4332,东寺峪
4333,涿州中心广场
4334,二八所
4335,兴盛园包括骏城和福提岛社区
4336,西石府
4337,清友园居委会
4338,黄杉木店路北口
4339,慧忠北里第一社区
4340,银丝沟胡同
4341,大江洼
4342,西下营
4343,石花洞
4344,大庄户村
4345,贾屯
4346,防灾科技学院
4347,田顺庄
4348,大兴庄村
4349,皂君庙号社区
4350,大本营公司
4351,盘道沟村
4352,第三社区
4353,芳城路东口
4354,老银庄
4355,青云店车站
4356,梁庄南
4357,琉璃井社区
4358,孙家营西站
4359,丑山子桥
4360,软件园西一路站
4361,佛子庄西口
4362,凯甲庄村
4363,梨树沟
4364,北苑家园西站
4365,小南地
4366,小村
4367,堡林庄
4368,温泉村1
4369,安洲坝
4370,刁营
4371,上德龙湾
4372,青云店道口
4373,亭子庄东
4374,北沟沿
4375,乐园庄
4376,通州三间房
4377,广一区社区
4378,妙峰山镇
4379,边庄子村
4380,口头村
4381,十三陵镇
4382,大杜两河
4383,前牛角胡同
4384,北石槽西口
4385,南白
4386,弘燕桥西
4387,岳家务
4388,房辛店
4389,大苑上村
4390,吉庆庄
4391,长峪城
4392,马连洼西站
4393,东鹿角村
4394,天宁寺桥北
4395,山泉虎
4396,西栅子
4397,灵秀山庄社区
4398,青龙山滑雪场
4399,汽南社区
4400,林调社区
4401,黄土岗
4402,望马台路口
4403,良乡医院
4404,荆卷村
4405,香河园社区
4406,武窑
4407,复兴门内
4408,双兴东区社区
4409,北苇沟
4410,定慧桥北北行
4411,五街坊社区
4412,新生社区
4413,千家店村
4414,和平东桥北
4415,庞各庄民生村
4416,京旺家园中街北口
4417,小马坊
4418,阳照胡同
4419,天通西苑北
4420,杨二官职胡同
4421,红军营南路西口
4422,花乡桥西
4423,北小栓马桩
4424,母猪胡同
4425,坡头村
4426,黄庄
4427,联想桥北
4428,七圣路
4429,蓝天站
4430,团结社区
4431,受水河胡同
4432,后沟胡同
4433,王顺沟村
4434,机场线
4435,海洼子
4436,上营
4437,九间房
4438,看守所
4439,槐房西路北口
4440,东不压桥胡同
4441,金明园小区
4442,献陵村
4443,柳营
4444,北下洼子胡同
4445,五路社区
4446,文化营二口
4447,朝阳区大柳树西站
4448,沙河南大桥
4449,顺义西单商城
4450,荊子峪
4451,周村小学
4452,校场小六条社区
4453,静安墓园
4454,西马厂北口
4455,天开
4456,金鸡台路口
4457,张自口村
4458,软件广场站
4459,翠成馨园北
4460,怀柔区新医院
4461,河湾
4462,定辛庄北
4463,大兴桥南
4464,承泽园社区
4465,中胡家务村
4466,下坡
4467,陇驾庄西口
4468,黄图岗胡同
4469,四街坊
4470,太子峪陵园
4471,前辛房
4472,漷县一街
4473,辛村北口
4474,吴庄南站
4475,东北园胡同
4476,干校
4477,张郭庄小区
4478,上卢凤营村
4479,西甘池
4480,南营三村一村
4481,大运河水梦园
4482,沈家村
4483,五方桥东
4484,刑各庄南口
4485,梨园北街
4486,北程庄东路
4487,曹碾西口
4488,东小河屯
4489,车道沟
4490,北沙滩桥北
4491,上清水村
4492,鲁谷住宅社区
4493,西河沿社区
4494,色树坟
4495,天通苑北二区
4496,夕照寺东里社区
4497,庄头路口
4498,西烧酒胡同
4499,龙王口
4500,顺义公路分局
4501,国防大学
4502,上地西里
4503,胡家店村
4504,大白村
4505,怀柔职介中心
4506,卡尔公寓
